time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
3.197,3.35,3.294047619047619,3.303,0.043494363280639166,1.317,1.3780000000000001,1.3538000000000001,1.3525,0.013836907168872698,20.186,20.888,20.39215,20.2825,0.21587178486314526,1.235,1.342,1.2744,1.2635,0.033478948609536686,17.19,18.542,17.74805,17.6535,0.3902339650773621,1.455,1.5290000000000001,1.4879,1.485,0.018349114420047646,130.99,145.856,135.95260000000002,136.4065,3.760826616583113,5.489,6.057,5.6375,5.6080000000000005,0.13192516818257247,61.781,66.96600000000001,63.00959999999999,62.6165,1.1897233880192495,0.9420000000000001,0.9440000000000001,0.9430000000000002,0.9430000000000001,0.0006324555320336764,64,8,8192,28672,128256,True,32768,1
3.157,3.428,3.2957619047619047,3.3000000000000003,0.054404923413327,1.307,1.366,1.3522500000000002,1.352,0.01300336494911992,20.106,21.001,20.40875,20.386000000000003,0.18205572635871697,1.231,1.352,1.28555,1.2785,0.03815032765259034,17.06,18.674,17.84035,17.897,0.4002537039179024,1.454,1.54,1.4998999999999998,1.5,0.023347162568500716,133.598,143.903,136.19564999999997,135.78500000000003,2.407765733517275,5.53,5.773,5.622750000000001,5.6305,0.05025124376570189,61.799,63.919000000000004,62.73875,62.703,0.5053397743103152,0.9420000000000001,0.9440000000000001,0.9429000000000002,0.9430000000000001,0.0006244997998398403,64,8,8192,28672,128256,True,32768,1
3.174,3.307,3.2474761904761906,3.2560000000000002,0.034229782420213364,1.31,1.366,1.33635,1.33,0.013308925576469358,19.949,20.725,20.244850000000003,20.2035,0.2183710775263061,1.22,1.33,1.27225,1.2685,0.03437277265511177,16.812,18.150000000000002,17.473650000000003,17.4625,0.30004870854579596,1.442,1.51,1.47475,1.474,0.020593384860192382,130.268,142.736,135.47005,135.6605,3.878304945140337,5.421,5.753,5.58175,5.587,0.10405377215651528,60.976,63.587,62.18994999999999,62.321,0.7261768706727036,0.933,0.937,0.9347999999999999,0.935,0.0011224972160321833,64,8,8192,28672,128256,True,32512,1
3.08,3.331,3.2300476190476197,3.238,0.05391923076891969,1.2770000000000001,1.354,1.3318999999999999,1.331,0.015889933920567444,19.837,20.433,20.0855,20.054000000000002,0.17674855020621794,1.22,1.345,1.2581499999999999,1.2385000000000002,0.036369320862507146,16.127,18.447,17.423949999999998,17.4435,0.5567655229088814,1.432,1.5230000000000001,1.4731,1.4765000000000001,0.02150790552331865,130.287,139.90800000000002,133.6393,132.85750000000002,2.5100651405889884,5.399,5.652,5.5363,5.5440000000000005,0.0642807125038296,60.536,63.125,61.90815,62.013999999999996,0.610353772413999,0.926,0.929,0.9281499999999999,0.928,0.0009096702699330135,64,8,8192,28672,128256,True,32256,1
3.153,3.2680000000000002,3.2215238095238097,3.218,0.028233075921049067,1.309,1.345,1.326,1.3265,0.010207840124139894,19.768,20.405,19.9829,19.957500000000003,0.20588635214603235,1.22,1.301,1.25425,1.2365,0.0312775878225927,16.909,17.959,17.377000000000002,17.348,0.30323406800687774,1.435,1.477,1.45715,1.465,0.01485690075352192,128.585,138.763,132.6653,131.85500000000002,3.5839537957401175,5.355,5.663,5.4801,5.478,0.09088778795855912,60.807,64.046,61.58700000000001,61.4435,0.7106950119425357,0.918,0.921,0.9194500000000001,0.919,0.001023474474522937,64,8,8192,28672,128256,True,32000,1
3.181,3.3000000000000003,3.2234285714285718,3.214,0.03021127419417091,1.309,1.363,1.3251000000000002,1.321,0.011215614116043765,19.653,20.665,19.83,19.772,0.22342873584210238,1.205,1.32,1.2339999999999998,1.2240000000000002,0.030564685504680087,16.693,17.936,17.27645,17.2915,0.3661772077833351,1.409,1.481,1.44405,1.439,0.017203124716167122,127.899,133.4,131.0436,131.20499999999998,1.1027798238995854,5.3580000000000005,5.617,5.4471,5.431,0.06088834042737575,60.326,62.366,61.13940000000001,60.93900000000001,0.5747553740505609,0.912,0.914,0.913,0.913,0.0007071067811865482,64,8,8192,28672,128256,True,31744,1
3.126,3.259,3.1891904761904764,3.18,0.035675280287374975,1.289,1.334,1.31175,1.3115,0.012380932921230154,19.439,20.316,19.783099999999997,19.756500000000003,0.24275499994850777,1.196,1.3,1.23855,1.231,0.03134561372823956,16.365000000000002,17.695,16.97095,16.898,0.35339644522830155,1.397,1.454,1.4336499999999999,1.429,0.013947311568901017,126.587,140.141,131.98815000000002,132.85899999999998,4.1134198943822895,5.271,5.573,5.433050000000001,5.4595,0.10054922923623033,59.357,62.046,61.00385,61.400000000000006,0.8246533984044451,0.905,0.908,0.9063500000000001,0.906,0.0007262919523166982,64,8,8192,28672,128256,True,31488,1
3.0660000000000003,3.313,3.163571428571428,3.152,0.05061015466388183,1.268,1.362,1.2996,1.2995,0.018031638860624977,19.296,19.988,19.5893,19.5315,0.20388504113838257,1.185,1.287,1.2322,1.2280000000000002,0.030210263156748546,16.325,17.487000000000002,16.930400000000002,16.9045,0.3783781706177035,1.415,1.462,1.4340499999999998,1.432,0.015841322545797756,125.215,137.996,130.258,128.63049999999998,3.2897045308051607,5.272,5.68,5.417,5.3675,0.10421516204468517,59.145,65.239,60.87175,60.602500000000006,1.279414040684251,0.897,0.9,0.8989499999999999,0.899,0.00097339611669659,64,8,8192,28672,128256,True,31232,1
3.047,3.229,3.1470476190476186,3.156,0.046594988684638024,1.2670000000000001,1.313,1.2907,1.29,0.010945775440780757,19.162,19.744,19.3971,19.3535,0.1666913015127064,1.182,1.266,1.2151,1.2165,0.026540346644307426,16.084,17.362000000000002,16.710150000000006,16.783,0.34998075304222076,1.375,1.445,1.41365,1.419,0.019254285237317946,125.401,131.07,128.11435,128.22899999999998,2.140511837738816,5.23,5.481,5.3274,5.3235,0.06788180905073166,59.101,61.524,60.118399999999994,60.007,0.5857127623673573,0.89,0.893,0.8909499999999999,0.891,0.0009205976319760992,64,8,8192,28672,128256,True,30976,1
3.1,3.1950000000000003,3.134523809523809,3.1310000000000002,0.024005195960595197,1.274,1.305,1.28585,1.28,0.0094035897400939,19.05,19.664,19.303649999999998,19.299,0.16132522276445185,1.169,1.2650000000000001,1.2115500000000003,1.197,0.0336592854944962,16.131,17.472,16.812599999999996,16.814500000000002,0.37283942924535235,1.379,1.437,1.4127000000000003,1.413,0.01647149052150411,125.83200000000001,134.706,128.11214999999999,127.49950000000001,2.5144032149796485,5.231,5.557,5.308,5.281,0.08125823035237728,58.876000000000005,62.704,59.911649999999995,59.8585,0.7859145166619583,0.881,0.884,0.8827,0.883,0.0006403124237432856,64,8,8192,28672,128256,True,30720,1
