arrived_at,num_prefill_tokens,num_decode_tokens
0.0,4808,10
0.052,3180,8
0.098189,110,27
0.140684,7433,14
0.444994,34,12
0.539187,374,14
0.698571,6985,9
1.016041,34,23
1.299312,1145,7
1.299337,201,24
1.398922,137,9
1.399087,7427,8
29.479069,1555,19
29.580407,3893,19
29.610325,1827,10
29.679153,394,17
29.717488,675,6
30.177869,7436,9
30.225731,158,26
30.482726,6587,18
30.503459,763,8
30.983655,1556,18
31.285416,5108,12
31.454687,159,127
31.455017,458,67
31.640022,2464,30
31.807122,4009,51
32.627382,1632,9
32.707961,2567,45
33.079995,730,36
33.340075,5108,10
33.534078,2569,7
33.57925,1832,7
33.586648,1630,9
33.679708,6587,13
33.681467,7436,6
33.781008,1044,16
33.880063,327,124
33.983035,1630,9
34.284439,3351,9
34.445908,1562,18
34.878972,3724,9
34.979189,328,43
35.034123,965,8
35.34715,6586,11
35.3545,2366,7
35.799358,328,40
35.980991,1513,29
36.280487,328,9
36.649398,2025,9
36.704026,2169,13
36.779047,74,14
37.379423,771,142
37.42317,76,18
37.898202,75,16
38.079791,527,27
38.211415,2024,97
38.680538,197,7
38.691529,109,12
38.887152,432,10
39.080624,2025,19
39.285966,6586,9
39.327517,7435,9
183.061791,2648,15
183.157936,2564,9
183.159022,3245,15
183.260172,2144,9
183.458074,2128,13
183.459909,7436,8
183.562835,250,6
183.656554,1177,23
183.656608,2743,38
187.159342,144,18
187.258307,88,19
187.259029,6819,82
187.361558,1179,13
187.558571,3154,9
187.559396,7435,13
187.56574,2656,11
187.66134,236,226
188.255371,90,25
188.2567,3631,15
188.2594,1901,20
188.262212,318,9
188.35417,4556,16
188.362128,5925,52
188.364166,43,33
188.366331,134,18
188.45427,163,13
188.457644,3286,15
188.45827,522,14
188.561441,583,6
191.098907,318,7
191.359204,147,17
191.359358,5025,17
191.558108,4557,9
191.658813,1468,6
191.658946,164,18
191.659915,584,24
192.162141,523,9
192.354682,61,9
192.355804,1724,11
192.363941,1891,16
192.363964,2507,6
192.457899,2147,22
192.457989,3066,6
192.460539,118,9
192.460589,2657,11
192.461721,4556,25
192.560864,5926,121
192.563059,7435,6
192.655198,149,20
195.262628,3658,6
195.361958,3397,7
195.362098,5927,21
195.36316,1894,7
195.454183,2647,6
195.462959,169,25
195.55988,138,29
195.656327,5928,6
195.659166,154,7
195.660499,1107,13
195.759354,1894,19
195.959029,2647,12
195.960524,1182,18
195.962219,1650,11
196.05413,5538,697
196.055315,526,7
196.256081,152,15
196.259772,4566,20
196.357632,7419,6
196.361443,46,25
196.362445,2862,13
196.454172,1724,32
196.55718,1724,16
196.561618,155,30
196.654591,81,15
196.658666,1650,13
196.659413,1364,9
196.659627,1908,22
196.661598,123,15
196.662475,81,7
196.754332,1724,15
196.760425,247,84
196.765727,3854,10
196.766926,83,6
196.862305,156,21
196.862354,247,71
196.957373,3066,12
196.957472,3517,11
196.958936,2081,6
196.96163,143,12
197.060204,2649,20
197.157665,2655,9
197.257388,1724,18
197.262359,2128,13
197.357431,3067,9
197.361416,2926,12
197.460297,1900,46
197.460578,2047,106
197.461669,5923,55
197.560814,2971,9
197.561623,2156,13
197.660334,573,6
197.661842,14,10
197.662952,232,6
197.666766,3284,7
197.757794,1364,9
197.759316,161,16
197.762444,316,23
197.956059,2084,16
197.958569,2068,11
197.962759,1180,39
198.256738,2654,17
198.261235,146,16
198.36061,318,11
198.362513,3288,10
198.458535,252,17
198.459715,35,14
198.556942,337,13
198.557005,109,6
198.559614,148,43
198.560831,985,27
198.563089,2136,8
198.566785,2657,7
198.761335,3289,15
198.763149,2136,12
198.857267,135,6
198.860735,181,105
198.954274,3399,10
198.959631,1067,9
198.960649,5831,11
198.960841,153,15
198.963892,527,7
198.965917,1905,17
198.977276,1293,25
199.057958,1180,6
199.05802,61,21
199.073379,1278,9
199.089585,65,10
199.173472,217,9
199.25647,287,9
199.256526,3064,15
199.256607,116,10
199.259161,1638,9
199.259245,3396,7
199.373513,2077,15
199.373602,4629,6
199.373666,1084,6
199.374811,1259,8
199.477409,7332,26
199.480762,4081,29
199.675747,1137,58
199.759395,1430,12
199.774371,596,6
199.855349,174,18
199.861707,2969,25
199.863993,2157,7
199.87545,596,67
199.954479,175,18
199.960484,108,11
199.96150599999999,161,11
199.961529,3399,19
199.975999,1278,9
200.073242,296,6
200.081871,4629,6
200.082323,842,7
200.375004,220,6
200.37501,4771,16
200.573257,1059,9
200.573318,1087,6
200.675134,14,9
200.775816,1326,6
200.975697,627,48
200.979972,4769,9
201.17319,1326,6
201.68531,1195,9
201.7779,40,16
201.875168,2187,13
201.87518,4083,41
202.006303,846,12
202.111355,1260,19
202.134513,1197,6
202.273258,7435,13
202.277007,6051,13
202.773187,1196,18
203.206651,847,32
203.23549,7436,11
203.573307,1257,9
203.677115,4770,39
203.918889,847,26
204.360868,848,8
204.573952,694,155
204.774484,7435,13
204.799519,847,8
204.807401,1748,15
205.002927,7335,11
205.175449,4803,13
205.176524,1200,6
205.473179,694,16
205.475185,1490,6
205.479641,6054,6
205.575067,847,13
205.677197,1201,12
213.74522,1141,22
213.841126,377,11
213.943694,7421,13
214.035739,389,12
214.040724,1144,10
214.041441,3640,14
214.14329,968,16
214.144006,3376,118
214.236223,2436,7
214.736946,481,11
214.739532,2165,10
214.741692,103,13
214.741704,3548,15
214.942377,483,9
215.040119,2113,145
215.041212,2436,14
215.044881,2437,13
215.139837,1292,70
215.141022,7429,9
215.240982,7408,12
215.242028,484,10
215.243917,2575,16
215.244977,2113,123
215.338972,1282,15
215.340513,2595,186
215.438342,1852,12
215.440798,878,17
215.537674,945,9
215.543269,7419,8
215.543467,1148,39
215.54442,55,6
215.743131,239,10
215.834952,55,8
215.840685,56,9
216.641509,486,16
216.838239,176,88
216.839194,881,12
216.839459,1156,17
218.543052,971,40
218.543131,1006,7
219.607349,2860,239
219.607424,5219,8
219.63589,1922,6
219.638926,3378,8
219.703701,2872,20
219.740119,1175,9
219.798983,6606,11
219.806847,2005,13
219.838077,882,11
219.841229,881,8
219.841339,1292,70
219.901008,387,10
220.004426,2172,14
220.008362,2001,6
220.102227,387,9
220.103345,5423,9
220.103487,35,17
220.336173,879,14
220.421084,917,11
220.499415,4028,218
220.535305,3379,7
220.54082,3945,26
221.403578,89,8
221.403699,1202,7
221.403806,6607,11
221.501983,1294,6
221.502057,6906,302
221.502762,917,11
221.509521,1096,16
221.603347,1291,22
221.69752,50,66
221.798769,1847,8
221.804921,736,21
221.898021,5431,12
222.183755,1575,28
222.184804,727,7
222.282409,45,16
222.282488,2353,12
222.381601,194,6
222.387461,5881,6
222.388415,3253,73
222.478609,194,6
222.481635,1233,153
222.483403,195,13
222.488779,195,14
222.540412,2596,13
222.543615,1258,16
222.579109,5697,19
222.579359,1031,9
222.585032,5699,7
222.585073,1648,10
222.642097,552,12
222.642139,1861,9
222.679161,4681,58
222.679269,5801,7
222.685489,729,17
222.735159,879,8
222.782148,5886,8
222.78216,3765,9
222.783179,3760,13
222.785094,53,42
222.842356,108,15
223.549172,134,6
223.637005,7436,10
223.638133,58,13
223.936508,63,8
223.939557,1863,15
224.186035,65,16
224.282546,2670,6
224.288364,5801,91
224.388499,5801,37
224.408553,52,18
224.500221,92,15
224.583465,1291,48
224.587172,1916,9
224.600468,4030,72
224.609477,2555,11
224.638526,130,13
224.6429,768,11
224.683289,1469,10
224.68543,1879,18
224.687444,2241,10
224.68838,2976,16
224.688387,201,121
224.739657,945,9
224.739808,111,23
224.805737,53,44
224.835576,2174,8
224.835654,2215,16
224.899276,6611,10
224.8993,1747,9
224.899527,6919,16
224.936559,6646,14
224.942477,2608,33
225.103142,2553,11
225.106049,5442,11
225.137128,110,12
225.241933,324,10
225.242085,883,10
225.434449,928,6
225.536992,1292,12
225.537853,2608,34
225.537998,2123,21
225.834202,2116,33
225.935297,2287,10
225.9362,882,11
226.50037,45,11
226.604576,738,21
226.809249,859,14
226.898314,5452,10
226.903711,6478,41
227.00493,266,52
227.006051,859,22
227.007204,4035,25
227.087986,4684,6
227.099837,94,14
227.105281,6918,49
227.202835,50,20
227.209341,6608,11
227.300409,46,21
227.406875,97,10
227.597559,46,13
227.598445,5461,13
227.598457,4991,9
227.603498,1969,100
227.604333,4821,23
227.684858,2979,11
227.779826,1034,12
227.786785,736,12
227.883352,5801,61
227.885477,2979,19
227.889236,2242,17
228.184951,163,53
228.186185,2679,222
228.189175,1469,10
228.278645,193,11
228.279458,313,26
228.283667,5803,6
228.283828,4685,6
228.289182,1038,9
228.379802,72,9
228.480667,1469,10
228.482877,4530,11
228.486849,1650,39
229.598173,46,9
229.602302,47,12
229.703377,94,13
229.703488,5473,7
229.703616,661,22
230.003044,5473,7
230.006963,3330,21
230.007911,661,12
230.008014,1980,9
230.404965,3286,37
230.499596,94,8
230.598243,3286,19
230.605378,863,16
230.609012,865,16
230.698152,3287,9
230.701193,5590,76
230.702835,1981,7
230.80437,97,8
230.807155,2124,13
230.900082,5479,13
230.903175,50,9
231.504817,3325,12
231.60086,429,9
231.600946,10,7
231.601869,863,15
231.604491,5503,9
231.702628,1338,11
231.70362,3324,6
231.703778,5491,13
231.706316,1397,9
231.707169,10,16
231.708159,2130,12
231.801773,4829,16
231.803364,98,12
231.804211,863,9
231.999194,1802,15
232.003155,3326,11
232.003212,5511,12
232.004172,100,6
232.005053,866,18
232.103697,103,10
232.201325,2130,8
232.202429,5480,22
232.206398,7435,21
232.3029,2130,10
232.397817,50,53
232.40233,14,89
232.402467,3287,70
232.604644,7436,25
232.604917,2956,116
232.697522,866,33
232.801087,866,14
232.805069,175,361
232.805136,6922,300
232.898541,60,19
232.901065,15,85
232.903541,5522,12
232.907489,876,33
232.998524,1397,9
232.999569,5213,16
233.084696,74,18
233.086611,1001,12
233.099895,5533,6
233.101584,15,188
233.106428,6490,7
233.108603,301,12
233.10861,876,59
233.183969,3898,6
233.183993,1125,14
233.185016,3251,27
233.186001,3738,65
233.200241,3330,9
233.202628,5214,9
233.203802,4057,12
233.383754,1264,9
233.38393,1027,27
233.400018,137,15
233.400098,4057,24
233.40109,15,10
233.483048,81,10
233.500359,4990,12
233.688127,1026,17
233.698761,17,88
233.703911,2653,7
233.803418,430,28
233.902437,2653,8
233.999136,497,16
234.003193,7434,12
234.008376,1421,25
234.083435,1264,9
234.098552,2654,7
234.103702,17,206
234.197785,15,248
234.20347,408,7
234.308526,17,43
234.478601,5806,43
234.479612,4685,6
234.483941,3315,28
234.484014,5803,87
234.506999,409,56
234.507209,143,9
234.509529,2284,11
234.580627,1469,10
234.681408,1059,10
234.685451,406,14
234.687772,75,19
234.707102,2963,79
234.785089,7433,12
234.78513,1496,23
234.786916,3320,27
234.788283,1471,8
234.79747,145,12
234.997592,18,55
235.00021,3268,14
235.079241,7436,14
235.080458,200,12
235.084654,1495,6
235.086505,1473,14
235.08752,196,6
235.099635,5538,13
235.178808,1880,13
235.280009,76,17
235.281071,4688,52
235.287596,1037,9
235.288382,1498,8
235.298892,997,638
235.398522,146,8
235.481812,6,12
235.482882,5806,51
235.483034,198,11
235.580826,3616,18
235.58401,1472,9
235.58413,1498,9
235.585177,80,9
235.681512,1053,9
235.686707,881,10
235.686719,1042,10
235.779632,4695,48
235.797804,52,17
235.882215,1497,9
235.884471,79,9
235.897715,504,10
