arrived_at,num_prefill_tokens,num_decode_tokens
0.0,374,44
4.314579,396,109
4.541877,879,55
4.710427,91,16
5.8926549999999995,91,16
6.311529,381,84
7.745497,1313,142
8.251431,388,84
8.337079,242,14
8.464985,209,152
8.700213,394,124
9.427468,394,59
9.582558,1315,174
10.106379,2221,15
10.546126,389,90
11.157911,415,106
11.430904,120,12
11.836632999999999,369,74
12.886545,206,162
13.025088,1353,142
13.049843,197,152
14.05955,181,154
14.09778,388,54
14.293309,4085,62
17.420918,2584,170
17.792938,203,147
18.160513,126,194
18.463892,389,87
18.979439,2548,116
19.913927,91,16
19.945197,4081,74
20.478941,181,123
20.658352999999998,191,217
20.941916,27,183
21.370065,203,217
21.375087,398,81
22.712872,126,172
22.994856,209,181
23.371403,209,181
24.146296,28,175
24.768385,437,88
24.894961,181,104
25.081422,203,138
25.223379,200,177
25.24984,4073,58
25.324254,91,16
25.917107,1087,401
26.254478,382,64
26.407057000000002,412,102
26.461144,194,217
27.330266,203,217
27.552529,200,217
28.090234,64,174
28.353357,458,123
28.578535,1352,158
28.607772,874,404
28.764379,378,58
29.340288,91,16
29.686078,4074,50
30.181499,389,89
31.269171,212,183
31.62049,1085,394
31.760229,407,131
31.917003,396,82
32.388505,1029,399
33.235882,962,399
33.413528,203,217
33.491001,898,94
33.52677,181,253
33.645713,320,18
33.748702,1119,414
33.825,124,157
33.932529,1313,179
34.746446,1096,383
35.294069,400,102
36.138512,1057,424
36.520417,203,162
36.864739,1314,216
37.124806,2,93
37.475965,1065,409
38.15493,372,60
38.392642,4094,82
38.549044,1104,394
38.813332,1075,415
39.091915,4088,37
39.220584,1225,372
39.324127,1118,426
39.637764,380,102
39.645191,1133,385
40.041867,42,167
40.350634,2590,50
40.479164,1140,377
41.125873,126,203
41.357391,431,84
42.334055,1115,421
42.529693,206,179
42.530625,400,91
42.545263,1123,396
42.56382,862,379
42.685223,859,422
42.691238,890,402
42.7153,1192,419
42.808573,899,403
42.999747,163,224
43.193461,181,212
43.589055,416,88
43.60991,1163,426
43.791124,243,14
43.893426,1041,428
43.923071,1350,146
44.040741,1104,396
44.061321,1127,426
44.828079,1114,414
45.009757,1083,396
45.025513,1313,173
45.104946,888,395
45.120367,13,130
45.174957,874,89
45.246852,1065,395
45.502752,1157,426
45.530242,1077,390
45.980822,2903,59
46.102321,4079,27
46.190439,1149,411
46.230075,996,389
46.406559,990,394
46.626689,197,183
46.678144,4107,49
47.209725,197,217
47.45994,1378,407
47.734062,1214,421
47.925302,1016,375
48.032991,1186,398
48.045529,4076,60
48.134608,1100,426
48.296375,218,217
48.709657,1232,419
48.995607,975,416
49.227038,209,217
49.561183,181,85
49.587457,1029,388
49.660912,888,418
49.72448,1113,375
49.742685,1035,520
49.742691,1009,425
49.832434,869,450
49.87843,1183,431
50.228524,972,395
50.486136,1097,396
50.631087,206,183
50.654982,181,208
50.657657,1316,200
50.741785,908,456
50.894221,1094,422
50.908333,996,422
50.995179,420,89
51.121242,1112,385
51.365096,1133,396
51.479026,890,403
51.621415999999996,833,36
51.678347,1093,426
51.940252,206,211
52.12022,898,454
