time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.26,0.292,0.2836190476190476,0.28800000000000003,0.009413648604305947,0.115,0.13,0.12580000000000002,0.1275,0.004142463035441597,2.395,2.717,2.6355999999999993,2.682,0.09567099874047515,0.17,0.186,0.18180000000000002,0.1825,0.004032369030731188,0.806,0.913,0.8892,0.9015,0.028347133893923043,0.115,0.129,0.1255,0.127,0.003427827300200523,4.284,4.8340000000000005,4.7021999999999995,4.769,0.16311394790145936,0.309,0.337,0.33035,0.334,0.008082542916681612,2.061,2.378,2.30565,2.347,0.09244580845014018,0.07,0.07100000000000001,0.07089999999999999,0.07100000000000001,0.00030000000000000024,40,40,5120,13824,103168,True,4096,1
0.261,0.295,0.2834761904761905,0.28600000000000003,0.008578039778405624,0.116,0.129,0.12555,0.127,0.0035281014724636247,2.41,2.715,2.6315000000000004,2.6574999999999998,0.08777043921503408,0.17,0.187,0.18215,0.184,0.004418993097980577,0.8130000000000001,0.912,0.8875499999999998,0.8955,0.02686721980406608,0.116,0.128,0.1251,0.1265,0.003618010503025108,4.296,4.827,4.68695,4.714,0.15898945719763946,0.311,0.337,0.33014999999999994,0.332,0.007695940488335399,2.083,2.3770000000000002,2.3015500000000007,2.317,0.08566415528095754,0.07100000000000001,0.07100000000000001,0.071,0.07100000000000001,1.3877787807814457e-17,40,40,5120,13824,103168,True,4096,1
0.263,0.291,0.28261904761904766,0.28600000000000003,0.007791791715683218,0.116,0.128,0.12515,0.127,0.0034680686267719676,2.422,2.717,2.6398,2.682,0.08101888668699415,0.171,0.184,0.18059999999999998,0.182,0.003746998799039034,0.8170000000000001,0.912,0.88565,0.901,0.030520935437826933,0.116,0.128,0.12434999999999999,0.126,0.0036093628246547872,4.321,4.836,4.6892499999999995,4.768,0.1629198806162097,0.311,0.335,0.3279,0.331,0.007272551134230689,2.108,2.3770000000000002,2.3098000000000005,2.347,0.07961758599706474,0.07,0.07100000000000001,0.0707,0.07100000000000001,0.0004582575694955844,40,40,5120,13824,103168,True,4064,1
0.259,0.28600000000000003,0.2788095238095238,0.28400000000000003,0.008494362542965659,0.115,0.127,0.12375,0.126,0.003832427429188971,2.3970000000000002,2.6830000000000003,2.6226999999999996,2.6805000000000003,0.09072766942890136,0.169,0.182,0.17885,0.18,0.003525265947414458,0.8260000000000001,0.903,0.8864999999999998,0.901,0.025519600310349676,0.114,0.126,0.12310000000000001,0.125,0.0035623026261113726,4.277,4.777,4.67385,4.752,0.15709082563918236,0.307,0.331,0.32484999999999997,0.328,0.007044678842928191,2.083,2.347,2.29615,2.3315,0.08290070868213366,0.069,0.07,0.06985000000000001,0.07,0.00035707142142714284,40,40,5120,13824,103168,True,4032,1
0.275,0.28700000000000003,0.28238095238095234,0.28300000000000003,0.003301892537782806,0.123,0.127,0.12525,0.125,0.0011779218989389757,2.642,2.742,2.6929000000000003,2.6875,0.03104657791126101,0.177,0.182,0.17995,0.1805,0.0014654350889752859,0.889,0.923,0.9079499999999999,0.9085000000000001,0.01058052456166518,0.122,0.126,0.12450000000000001,0.125,0.001284523257866514,4.702,4.881,4.79435,4.7780000000000005,0.05395671876606283,0.322,0.33,0.32664999999999994,0.327,0.0025548972582082456,2.311,2.398,2.3545000000000003,2.347,0.027983030572116485,0.069,0.07,0.06925,0.069,0.00043301270189221973,40,40,5120,13824,103168,True,4000,1
0.274,0.28500000000000003,0.2800952380952382,0.28,0.0030379310300450656,0.121,0.126,0.12384999999999999,0.124,0.0014239030865898156,2.638,2.738,2.69125,2.691,0.03280986894213384,0.176,0.18,0.17824999999999996,0.179,0.001336974195712095,0.887,0.92,0.9050499999999999,0.904,0.01081884929186095,0.121,0.125,0.12335,0.123,0.0012757350822173085,4.553,4.724,4.6457,4.642,0.05353606261203754,0.319,0.327,0.32375,0.324,0.002233271143412731,2.306,2.391,2.3496499999999996,2.347,0.025032528837494645,0.069,0.069,0.06899999999999999,0.069,1.3877787807814457e-17,40,40,5120,13824,103168,True,3968,1
0.273,0.28200000000000003,0.2793333333333334,0.279,0.0023367322183591066,0.121,0.125,0.12374999999999999,0.124,0.0010897247358851695,2.678,2.744,2.7141499999999996,2.71,0.02272724136361474,0.176,0.18,0.17815,0.178,0.0011521718621802922,0.913,0.937,0.92775,0.927,0.007706328568131528,0.122,0.124,0.12320000000000002,0.1235,0.0008717797887081355,4.624,4.738,4.689400000000001,4.6835,0.04120485408298401,0.319,0.325,0.32249999999999995,0.3225,0.0018027756377319963,2.339,2.3970000000000002,2.3691500000000003,2.3665000000000003,0.021275044065759363,0.068,0.069,0.06805000000000001,0.068,0.00021794494717703385,40,40,5120,13824,103168,True,3936,1
0.271,0.278,0.274,0.274,0.0020701966780270645,0.12,0.123,0.12155,0.122,0.0007399324293474377,2.641,2.705,2.6829000000000005,2.68,0.017014405661086085,0.17300000000000001,0.176,0.17485,0.17500000000000002,0.0010136567466356562,0.902,0.925,0.9163500000000001,0.915,0.005926845704082404,0.11900000000000001,0.122,0.12075,0.121,0.0008291561975888492,4.5680000000000005,4.674,4.633,4.6225000000000005,0.028101601377857468,0.316,0.32,0.31765,0.317,0.0012359207094308287,2.309,2.364,2.3427,2.335,0.014426018161641125,0.067,0.068,0.06765000000000002,0.068,0.00047696960070847325,40,40,5120,13824,103168,True,3904,1
0.266,0.277,0.27280952380952384,0.274,0.0030177103843342613,0.11900000000000001,0.123,0.12084999999999999,0.121,0.0011079259903080132,2.642,2.74,2.6826499999999998,2.6814999999999998,0.024789665185314686,0.17,0.177,0.17395,0.17400000000000002,0.0018020821290940044,0.902,0.935,0.9171999999999999,0.9155,0.008947625383307022,0.11800000000000001,0.122,0.12035,0.121,0.0011079259903080132,4.565,4.73,4.636500000000001,4.628,0.04462454481560575,0.311,0.319,0.315,0.315,0.00202484567313166,2.31,2.395,2.3457,2.347,0.021447843714462317,0.067,0.067,0.06699999999999999,0.067,1.3877787807814457e-17,40,40,5120,13824,103168,True,3872,1
0.267,0.276,0.2720952380952381,0.272,0.0023483481916072315,0.11900000000000001,0.122,0.1206,0.1205,0.0010198039027185548,2.5020000000000002,2.582,2.5450500000000003,2.5335,0.023802258296220496,0.171,0.17500000000000002,0.17320000000000002,0.17300000000000001,0.0010770329614269018,0.887,0.916,0.9038999999999999,0.901,0.008455175929571195,0.11800000000000001,0.121,0.12000000000000002,0.12,0.0009486832980505096,4.416,4.572,4.4994,4.473,0.04866045622474162,0.312,0.317,0.3144,0.314,0.0018814887722226794,2.315,2.378,2.3493,2.345,0.02107866219663864,0.065,0.066,0.0654,0.065,0.0004898979485566361,40,40,5120,13824,103168,True,3840,1
0.266,0.273,0.27028571428571424,0.271,0.002228449325104305,0.11800000000000001,0.121,0.12004999999999999,0.12,0.0009205976319760947,2.503,2.568,2.5469500000000003,2.545,0.02060940319368799,0.169,0.17400000000000002,0.17155000000000004,0.17200000000000001,0.0014991664350564964,0.888,0.911,0.9035500000000001,0.905,0.007365290218314558,0.117,0.12,0.11925000000000001,0.1195,0.0008874119674649373,4.422,4.531,4.499350000000001,4.4990000000000006,0.03173842308622153,0.308,0.314,0.31179999999999997,0.312,0.0016613247725836165,2.316,2.376,2.3558,2.346,0.019381950366255705,0.064,0.065,0.06475,0.065,0.00043301270189221973,40,40,5120,13824,103168,True,3808,1
0.263,0.269,0.26547619047619053,0.265,0.0019424836242258243,0.117,0.12,0.11830000000000003,0.11800000000000001,0.0008999999999999968,2.5220000000000002,2.588,2.53695,2.524,0.018424101063552585,0.166,0.17200000000000001,0.1688,0.1685,0.0015362291495737228,0.894,0.919,0.9011999999999999,0.895,0.007775602870517508,0.116,0.11900000000000001,0.11715,0.117,0.0010136567466356656,4.462,4.582,4.492600000000001,4.4675,0.03677825444471226,0.305,0.312,0.30710000000000004,0.306,0.0018681541692269418,2.32,2.382,2.3337500000000007,2.322,0.018441461438833975,0.064,0.064,0.06400000000000002,0.064,1.3877787807814457e-17,40,40,5120,13824,103168,True,3776,1
0.261,0.27,0.26580952380952383,0.266,0.0019909090438444657,0.116,0.12,0.11805000000000002,0.11800000000000001,0.0009205976319760979,2.519,2.589,2.5458,2.533,0.020903588208726176,0.166,0.171,0.16845,0.1685,0.001243985530462474,0.898,0.919,0.9047000000000003,0.901,0.006812488532100446,0.116,0.11800000000000001,0.11699999999999999,0.117,0.0006324555320336764,4.462,4.585,4.50345,4.492,0.0373047919173931,0.305,0.309,0.30595000000000006,0.305,0.0012439855304624738,2.344,2.378,2.3546500000000004,2.345,0.014036648460369698,0.063,0.064,0.06334999999999999,0.063,0.0004769696007084732,40,40,5120,13824,103168,True,3744,1
0.259,0.266,0.2611904761904762,0.26,0.0023015325663989683,0.115,0.117,0.11580000000000001,0.116,0.0006782329983125274,2.501,2.564,2.5236499999999995,2.519,0.016900517743548567,0.164,0.168,0.16535,0.165,0.0011947803145348531,0.886,0.909,0.8943999999999999,0.893,0.006491532946846998,0.113,0.117,0.11480000000000001,0.115,0.0008717797887081354,4.307,4.412,4.3537,4.3475,0.029383839095666085,0.301,0.306,0.30265,0.302,0.0014585952145814835,2.316,2.375,2.32965,2.32,0.018268210092945665,0.062,0.063,0.06275,0.063,0.0004330127018922198,40,40,5120,13824,103168,True,3712,1
0.256,0.263,0.2599047619047619,0.26,0.0018999940326914306,0.114,0.117,0.11515000000000004,0.115,0.0008529361054615998,2.498,2.562,2.5262000000000002,2.5330000000000004,0.01669011683601999,0.162,0.167,0.1648,0.165,0.0012083045973594584,0.899,0.923,0.9109500000000003,0.913,0.006629291063152989,0.113,0.116,0.11470000000000002,0.115,0.0007810249675906662,4.298,4.405,4.3512,4.3605,0.029481519635188393,0.297,0.303,0.30005,0.3,0.0015644487847162028,2.315,2.374,2.3398499999999998,2.345,0.01582806052553511,0.062,0.062,0.06200000000000001,0.062,1.3877787807814457e-17,40,40,5120,13824,103168,True,3680,1
