,p50,p90,p99,mean
vllm@1p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@2p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@3p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@4p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@5p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@6p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@7p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@8p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@9p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
vllm@10p,1.4532965423710458,1.5319056392919137,1.628030605689596,1.4563669536005617
orca@1p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@2p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@3p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@4p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@5p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@6p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@7p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@8p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@9p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
orca@10p,1.429181306406452,1.5008563334746665,1.5818688952090534,1.4322023342983687
sarathi@1p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@2p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@3p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@4p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@5p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@6p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@7p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@8p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@9p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
sarathi@10p,1.4344496874684225,1.5028083819796942,1.5832067455000687,1.4370036525527907
llumlet@1p,1.4313709236122278,1.4989657829292458,1.5869415262286004,1.431061307181559
llumlet@2p,1.4307281582857705,1.5016528057858907,1.5857360549004504,1.4310298523115241
llumlet@3p,1.4303316546211882,1.504865055647079,1.5954602379399134,1.4306349795475612
llumlet@4p,1.429121173366223,1.5022470622288047,1.595348873943228,1.4306059266822266
llumlet@5p,1.4274111632651696,1.505034230573385,1.6004906487374573,1.4317791795321613
llumlet@6p,1.4290694977046376,1.5041114810041394,1.600104950840613,1.4312338713528114
llumlet@7p,1.4306780598473035,1.50374661316171,1.610491087945735,1.431866028954192
llumlet@8p,1.428505011609822,1.5086718710240794,1.6024776864386152,1.4314448198567185
llumlet@9p,1.4310703848123145,1.506077933928428,1.5768779662088737,1.4313630083077242
llumlet@10p,1.4281345560337506,1.506546184414869,1.59298811912012,1.4316133881420556
