,time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.01,0.02,0.015666666666666666,0.017,0.0041899350299921785,0,2,2048,send_recv,1,8
1,0.017,0.064,0.03333333333333333,0.019,0.021699974398346394,0,2,10240,send_recv,1,8
2,0.017,0.053,0.029333333333333336,0.018000000000000002,0.01673983937265296,0,2,18432,send_recv,1,8
3,0.017,0.021,0.018666666666666668,0.018000000000000002,0.0016996731711975948,0,2,26624,send_recv,1,8
4,0.018000000000000002,0.073,0.037,0.02,0.025468935326524087,0,2,34816,send_recv,1,8
5,0.018000000000000002,0.044,0.027,0.019,0.012027745701779141,0,2,43008,send_recv,1,8
6,0.018000000000000002,0.044,0.027,0.019,0.012027745701779141,0,2,51200,send_recv,1,8
7,0.018000000000000002,0.049,0.028333333333333335,0.018000000000000002,0.014613540144521982,0,2,59392,send_recv,1,8
8,0.02,0.07,0.036666666666666674,0.02,0.023570226039551587,0,2,67584,send_recv,1,8
9,0.02,0.021,0.020666666666666667,0.021,0.00047140452079103207,0,2,75776,send_recv,1,8
10,0.02,0.074,0.03833333333333334,0.021,0.02522344588319015,0,2,83968,send_recv,1,8
11,0.02,0.075,0.03833333333333334,0.02,0.02592724864350674,0,2,92160,send_recv,1,8
12,0.02,0.073,0.038,0.021,0.024752104287649294,0,2,100352,send_recv,1,8
13,0.02,0.051000000000000004,0.030333333333333337,0.02,0.014613540144521984,0,2,108544,send_recv,1,8
14,0.02,0.07100000000000001,0.037333333333333336,0.021,0.023809428571238096,0,2,116736,send_recv,1,8
15,0.022,0.049,0.04,0.049,0.012727922061357857,0,2,124928,send_recv,1,8
16,0.023,0.053,0.03333333333333333,0.024,0.013912424503139469,0,2,133120,send_recv,1,8
17,0.023,0.076,0.042,0.027,0.024097026095903758,0,2,141312,send_recv,1,8
18,0.023,0.079,0.042333333333333334,0.025,0.025940101944458293,0,2,149504,send_recv,1,8
19,0.024,0.07200000000000001,0.04,0.024,0.022627416997969524,0,2,157696,send_recv,1,8
20,0.025,0.026000000000000002,0.02566666666666667,0.026000000000000002,0.00047140452079103207,0,2,165888,send_recv,1,8
21,0.024,0.033,0.028,0.027,0.0037416573867739417,0,2,174080,send_recv,1,8
22,0.023,0.076,0.042,0.027,0.024097026095903758,0,2,182272,send_recv,1,8
23,0.025,0.075,0.042,0.026000000000000002,0.023338094752285723,0,2,190464,send_recv,1,8
24,0.027,0.073,0.043333333333333335,0.03,0.02101322334996598,0,2,198656,send_recv,1,8
25,0.027,0.059000000000000004,0.03766666666666667,0.027,0.015084944665313014,0,2,206848,send_recv,1,8
26,0.028,0.03,0.028666666666666663,0.028,0.0009428090415820626,0,2,215040,send_recv,1,8
27,0.027,0.074,0.044000000000000004,0.031,0.021275964529643927,0,2,223232,send_recv,1,8
28,0.025,0.07200000000000001,0.041666666666666664,0.028,0.02148384405909603,0,2,231424,send_recv,1,8
29,0.027,0.07100000000000001,0.041666666666666664,0.027,0.020741798914805397,0,2,239616,send_recv,1,8
30,0.027,0.067,0.04066666666666666,0.028,0.018624953392931992,0,2,247808,send_recv,1,8
31,0.03,0.077,0.04566666666666667,0.03,0.022156012477178487,0,2,256000,send_recv,1,8
32,0.026000000000000002,0.077,0.043333333333333335,0.027,0.023809428571238092,0,2,264192,send_recv,1,8
33,0.029,0.07,0.043000000000000003,0.03,0.01909624744987001,0,2,272384,send_recv,1,8
34,0.024,0.027,0.025666666666666667,0.026000000000000002,0.001247219128924647,0,2,280576,send_recv,1,8
35,0.025,0.07100000000000001,0.041,0.027,0.021228911104120878,0,2,288768,send_recv,1,8
36,0.025,0.07200000000000001,0.041,0.026000000000000002,0.021924111536540468,0,2,296960,send_recv,1,8
37,0.026000000000000002,0.038,0.030666666666666665,0.028,0.00524933858267454,0,2,305152,send_recv,1,8
38,0.024,0.07,0.044000000000000004,0.038,0.019252705437591538,0,2,313344,send_recv,1,8
39,0.025,0.068,0.03966666666666666,0.026000000000000002,0.020038851153585516,0,2,321536,send_recv,1,8
40,0.025,0.069,0.042666666666666665,0.034,0.01897952112731568,0,2,329728,send_recv,1,8
41,0.028,0.07,0.042,0.028,0.019798989873223333,0,2,337920,send_recv,1,8
42,0.026000000000000002,0.033,0.028333333333333335,0.026000000000000002,0.0032998316455372214,0,2,346112,send_recv,1,8
43,0.029,0.07200000000000001,0.043666666666666666,0.03,0.02003885115358552,0,2,354304,send_recv,1,8
44,0.027,0.07100000000000001,0.041666666666666664,0.027,0.020741798914805397,0,2,362496,send_recv,1,8
45,0.028,0.076,0.04533333333333334,0.032,0.02174600857373345,0,2,370688,send_recv,1,8
46,0.027,0.032,0.028999999999999998,0.028,0.002160246899469287,0,2,378880,send_recv,1,8
47,0.031,0.07200000000000001,0.045000000000000005,0.032,0.01909624744987001,0,2,387072,send_recv,1,8
