,request_p99,request_mean,prefill_p99,prefill_mean,decode_p99,decode_mean
llumlet@1p,1.5847107918432013,1.4316947984529627,0.08437129013414589,0.04697970652575357,0.011999109498525791,0.01081808665568127
llumlet@2p,1.5857360549004504,1.4310298523115241,0.08393470679166189,0.047024192184673734,0.012042093400737199,0.01081254421974097
llumlet@3p,1.5954602379399134,1.4313126283760265,0.09746368612193439,0.04837448771105878,0.012088049670827734,0.010804204223945011
llumlet@4p,1.5883910722527868,1.431354992185966,0.09356030912861611,0.0487047382690387,0.01206801777740395,0.010801955108725945
llumlet@5p,1.5951408505862692,1.4314639742108588,0.09331621410231189,0.04892497660108137,0.012120046876695371,0.010801085918826335
vllm@1p,1.628030605689596,1.4563669536005617,0.04703936587407912,0.041690694556176265,0.012375782866326297,0.01105215827378421
vllm@2p,1.628030605689596,1.4563669536005617,0.04703936587407912,0.041690694556176265,0.012375782866326297,0.01105215827378421
vllm@3p,1.628030605689596,1.4563669536005617,0.04703936587407912,0.041690694556176265,0.012375782866326297,0.01105215827378421
vllm@4p,1.628030605689596,1.4563669536005617,0.04703936587407912,0.041690694556176265,0.012375782866326297,0.01105215827378421
vllm@5p,1.628030605689596,1.4563669536005617,0.04703936587407912,0.041690694556176265,0.012375782866326297,0.01105215827378421
