,request_p99,request_mean,prefill_p99,prefill_mean,decode_p99,decode_mean
llumlet@1p,1.5930820266808712,1.4372491715908182,0.08437129013414589,0.046693341414032065,0.012073956162961298,0.010863717423256092
llumlet@2p,1.6014002830958498,1.4371553096224614,0.08393470679166189,0.04721212575397907,0.01218964794583625,0.01085893112397247
llumlet@3p,1.600713037885428,1.4369866249732297,0.09747137305960579,0.04842289088347739,0.012135695598493377,0.010848154172576143
llumlet@4p,1.5952545862836367,1.4367229224637594,0.09356030912861611,0.04871707970497315,0.012079997034373928,0.010843795646552969
llumlet@5p,1.6003644910191968,1.4378017682776019,0.09331621410231189,0.04899477464544129,0.01215127804308634,0.010850054637751204
vllm@1p,1.6432911513348114,1.4631881018270372,0.04706876472131617,0.04173399617507936,0.012515044547833908,0.01110511020040587
vllm@2p,1.6432911513348114,1.4631881018270372,0.04706876472131617,0.04173399617507936,0.012515044547833908,0.01110511020040587
vllm@3p,1.6432911513348114,1.4631881018270372,0.04706876472131617,0.04173399617507936,0.012515044547833908,0.01110511020040587
vllm@4p,1.6432911513348114,1.4631881018270372,0.04706876472131617,0.04173399617507936,0.012515044547833908,0.01110511020040587
vllm@5p,1.6432911513348114,1.4631881018270372,0.04706876472131617,0.04173399617507936,0.012515044547833908,0.01110511020040587
