time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.39,0.443,0.42733333333333334,0.431,0.014756220103604839,0.17500000000000002,0.195,0.19014999999999999,0.1915,0.005479735395071555,2.545,2.916,2.81285,2.842,0.10054714068535218,0.158,0.17400000000000002,0.16995000000000002,0.17200000000000001,0.004421255477802661,2.125,2.4210000000000003,2.3423500000000006,2.367,0.08276489291964316,0.17500000000000002,0.195,0.19005,0.192,0.005426555076657751,11.056000000000001,12.507,12.066000000000003,12.1265,0.36867194089054284,0.49,0.531,0.5205,0.5215000000000001,0.009536770941990803,5.486,6.339,6.1558,6.2015,0.19656108465309213,0.112,0.113,0.11255000000000001,0.113,0.0004974937185533104,64,8,8192,22016,32768,True,4096,1
0.393,0.45,0.43252380952380953,0.437,0.014805465681935059,0.17400000000000002,0.199,0.1921,0.195,0.00629205848669575,2.559,3.004,2.8578,2.8895,0.10334969762897231,0.159,0.176,0.1718,0.17300000000000001,0.0039319206502675015,2.121,2.498,2.3832499999999994,2.4065000000000003,0.08336538550261734,0.17500000000000002,0.198,0.1921,0.194,0.0053,11.109,12.886000000000001,12.184600000000001,12.211500000000001,0.4325002196531236,0.488,0.536,0.52265,0.523,0.0117485105438945,5.4910000000000005,6.4350000000000005,6.2067499999999995,6.256,0.22919072297979243,0.112,0.113,0.1126,0.113,0.0004898979485566361,64,8,8192,22016,32768,True,4096,1
0.387,0.439,0.4249047619047619,0.427,0.012019447582206338,0.17400000000000002,0.194,0.18875000000000003,0.189,0.0044483142874576645,2.54,2.916,2.8142500000000004,2.8315,0.0883407465442759,0.158,0.17300000000000001,0.1688,0.169,0.003280243893371348,2.113,2.42,2.3512999999999997,2.3659999999999997,0.07131907178307918,0.17300000000000001,0.193,0.189,0.1895,0.004827007354458868,10.94,12.526,12.083499999999999,12.1205,0.3682843330906164,0.484,0.527,0.5158,0.5165,0.00980102035504468,5.487,6.346,6.1479,6.157,0.1821919043206915,0.111,0.111,0.11100000000000002,0.111,1.3877787807814457e-17,64,8,8192,22016,32768,True,4064,1
0.391,0.437,0.42247619047619045,0.428,0.01317508126881611,0.17500000000000002,0.192,0.18825,0.19,0.0048257123826436245,2.568,2.919,2.8284,2.852,0.0898601135098326,0.159,0.17200000000000001,0.16845,0.1695,0.0034709508783617236,2.13,2.419,2.34605,2.372,0.07618298694590547,0.176,0.193,0.18775,0.1895,0.004646235034950345,11.024000000000001,12.521,12.075800000000001,12.23,0.35505585476090923,0.487,0.523,0.51445,0.5185,0.007952829685086944,5.6690000000000005,6.338,6.188,6.253,0.1490674344047015,0.11,0.11,0.11000000000000001,0.11,1.3877787807814457e-17,64,8,8192,22016,32768,True,4032,1
0.41400000000000003,0.43,0.4238095238095238,0.425,0.004777118553898838,0.185,0.191,0.1884,0.189,0.0018275666882497082,2.779,2.888,2.8484500000000006,2.8485,0.03179225534623172,0.164,0.171,0.16760000000000003,0.168,0.001685229954635273,2.312,2.403,2.3665,2.372,0.028146935890075157,0.182,0.191,0.1881,0.189,0.002188606862823931,11.776,12.378,12.17305,12.2135,0.163973923231714,0.503,0.52,0.5116499999999999,0.511,0.004418993097980583,6.022,6.335,6.2052000000000005,6.2115,0.07834960114767656,0.109,0.11,0.1099,0.11,0.00030000000000000024,64,8,8192,22016,32768,True,4000,1
0.40900000000000003,0.43,0.4202380952380953,0.42,0.005079414682297471,0.182,0.191,0.1871,0.187,0.0020952326839756984,2.782,2.926,2.8534,2.85,0.03318644301518324,0.164,0.169,0.16635,0.166,0.0016209565077447343,2.313,2.436,2.3727500000000004,2.3735,0.03469564093657873,0.182,0.191,0.18664999999999998,0.187,0.0022643983748448526,11.523,12.276,11.898700000000002,11.8965,0.18114720533312134,0.497,0.517,0.506,0.505,0.00480624593627917,6.049,6.418,6.2179,6.191,0.08914476989706127,0.109,0.109,0.10900000000000001,0.109,1.3877787807814457e-17,64,8,8192,22016,32768,True,3968,1
0.405,0.429,0.41580952380952385,0.41400000000000003,0.00750630876009066,0.18,0.191,0.18570000000000003,0.1855,0.0031160872901765794,2.763,2.954,2.8575999999999997,2.8455000000000004,0.05682376263501035,0.161,0.17,0.16455000000000003,0.164,0.0024181604578687515,2.3040000000000003,2.453,2.3765,2.3659999999999997,0.044967210275933235,0.181,0.19,0.185,0.185,0.00289827534923789,11.579,12.348,11.889300000000002,11.831,0.21044502845161245,0.494,0.514,0.502,0.4995,0.006033241251599348,6.021,6.423,6.195150000000001,6.1884999999999994,0.10979311226119791,0.107,0.108,0.10785000000000003,0.108,0.00035707142142714284,64,8,8192,22016,32768,True,3936,1
0.401,0.425,0.4160952380952382,0.418,0.006070261325705679,0.179,0.189,0.18455,0.185,0.0025391927851189265,2.7720000000000002,2.96,2.8693,2.882,0.05177847042932028,0.16,0.168,0.16419999999999998,0.164,0.0021354156504062643,2.313,2.453,2.3835,2.394,0.041958908470073414,0.178,0.188,0.18395,0.1845,0.0028543825952384192,11.52,12.355,11.929649999999999,11.913,0.23550632157120538,0.49,0.511,0.50005,0.5005,0.00545412687787881,6.022,6.423,6.238999999999999,6.253,0.1005559545725662,0.106,0.107,0.10675000000000001,0.107,0.0004330127018922197,64,8,8192,22016,32768,True,3904,1
0.393,0.426,0.4081904761904762,0.40700000000000003,0.007075235467184094,0.176,0.188,0.18080000000000002,0.18,0.0030430248109405904,2.73,2.987,2.8264500000000004,2.84,0.06319610351912529,0.157,0.165,0.1611,0.161,0.0019974984355438197,2.2840000000000003,2.477,2.3514999999999993,2.3600000000000003,0.04887995499179594,0.17500000000000002,0.187,0.18059999999999998,0.1815,0.003120897306865447,11.378,12.416,11.827549999999999,11.729000000000001,0.2573844352325914,0.48,0.508,0.49189999999999995,0.489,0.006339558344238191,5.948,6.506,6.1618,6.127000000000001,0.1220215554727934,0.105,0.106,0.10545,0.105,0.0004974937185533104,64,8,8192,22016,32768,True,3872,1
0.399,0.426,0.4124285714285714,0.41500000000000004,0.007326217945690319,0.178,0.188,0.1824,0.1825,0.0031685959035509742,2.7720000000000002,2.996,2.8695499999999994,2.8795,0.06434320088400948,0.157,0.167,0.1619,0.162,0.0027549954627911844,2.091,2.2600000000000002,2.1734,2.17,0.04211697994870949,0.177,0.188,0.18275,0.183,0.002487468592766552,11.212,12.116,11.618549999999999,11.644,0.2501060724972507,0.485,0.504,0.4955,0.497,0.005843800133474797,5.492,5.8580000000000005,5.68185,5.706,0.11876500957773718,0.106,0.107,0.10695000000000002,0.107,0.00021794494717703388,64,8,8192,22016,32768,True,3840,1
