time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,profile_method
0.0,0.0,0.0,0.0,0.0,0.015,0.015,0.015,0.015,0.0,0.001,0.001,0.001,0.001,0.0,,,,,,8192,64,8,16,2,4096,1,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.001,0.001,0.001,0.001,0.0,,,,,,8192,64,8,16,2,4096,2,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.0,0.001,0.001,0.001,0.001,0.0,,,,,,8192,64,8,16,2,4096,3,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.0,0.001,0.001,0.001,0.001,0.0,,,,,,8192,64,8,16,2,4096,4,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.0,0.001,0.001,0.001,0.001,0.0,,,,,,8192,64,8,16,2,4096,5,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.013000000000000001,0.012199999999999999,0.012,0.00040000000000000034,0.001,0.001,0.001,0.001,0.0,,,,,,8192,64,8,16,2,4096,6,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.0,0.001,0.002,0.0014,0.001,0.0004898979485566356,,,,,,8192,64,8,16,2,4096,7,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.001,0.002,0.0018000000000000002,0.002,0.0004,,,,,,8192,64,8,16,2,4096,8,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.001,0.002,0.0018000000000000002,0.002,0.0004,,,,,,8192,64,8,16,2,4096,9,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.0,0.001,0.002,0.0018000000000000002,0.002,0.0004,,,,,,8192,64,8,16,2,4096,10,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.001,0.002,0.0018000000000000002,0.002,0.0004,,,,,,8192,64,8,16,2,4096,11,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.001,0.002,0.0018000000000000002,0.002,0.0004,,,,,,8192,64,8,16,2,4096,12,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,13,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,0.016,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,14,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,0.016,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,15,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,0.016,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,16,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,0.016,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,17,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,0.016,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,18,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,0.016,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,19,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,0.016,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,20,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.016,0.017,0.0166,0.017,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,21,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,22,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,23,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,24,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,25,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,26,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,27,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.011,0.011,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,28,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.011,0.011,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,29,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.011,0.012,0.011199999999999998,0.011,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,30,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,31,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,32,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,33,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,34,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,35,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,36,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,37,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,38,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,39,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,40,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,8,16,2,4096,41,0,32,False,AttentionBackend.FLASH_ATTENTION,ProfileMethod.KINETO
