,schedule_mean,sampler_launch_mean,sampler_e2e_mean,prepare_inputs_launch_mean,prepare_inputs_e2e_mean,model_execution_launch_mean,model_execution_e2e_mean,process_model_outputs_mean,schedule_median,sampler_launch_median,sampler_e2e_median,prepare_inputs_launch_median,prepare_inputs_e2e_median,model_execution_launch_median,model_execution_e2e_median,process_model_outputs_median,model_name,batch_size,tensor_parallel_degree,ray_comm_time_mean
0,0.19615835238558552,0.5740625880813847,0.6238708059148242,0.7851933866428832,0.8886099288550516,0.23586827834757665,1.677295707243805,0.23239651151622334,0.1996876192952873,0.5417228775491246,0.5880162608257326,0.7239734144330422,0.7749160446348289,0.09320058402004541,1.4091682184568806,0.22695557299492955,codellama/CodeLlama-34b-Instruct-hf,8,2,6.241360194204996
1,0.3150219563394785,0.5691022476336608,0.614844345060798,0.8007416230005523,0.8537373165988053,0.18683621116603413,1.730371717712842,0.38201306112265837,0.29493481681683503,0.5604581565766483,0.607137089182762,0.7733677608293648,0.8244815088563408,0.09282852617171974,1.472555944954524,0.39180116017555705,codellama/CodeLlama-34b-Instruct-hf,16,2,6.353214354021475
2,0.42912481714867884,0.6013498027136343,0.6473766956737058,0.8224546327255666,0.8892755269900792,0.1559645461384207,1.8643336435262527,0.547227100469172,0.4102449752934927,0.586841403161745,0.6331799270180365,0.8001143897618219,0.8495907174577653,0.09135508819882901,1.5265337479404901,0.530996042333594,codellama/CodeLlama-34b-Instruct-hf,24,2,6.275989257523583
3,0.5476734901700789,0.6532767899140405,0.6994194263825193,0.8831878537118124,0.936765941636016,0.14769793051527813,1.8194075867844124,0.6920013305110236,0.537406382093016,0.623129661365701,0.6669763873281132,0.8478932335068007,0.8967299365517066,0.09172124049005448,1.5113444783231587,0.6818124713346724,codellama/CodeLlama-34b-Instruct-hf,32,2,6.2930717031122185
4,0.6565806999181708,0.6756897879919658,0.7228037323026607,0.9682659214983383,1.036610999532665,0.137211853871122,1.7581849941052496,0.8069010121592631,0.6485600739157488,0.6616618609077805,0.7082199179121906,0.9057422252625693,0.9559969894942758,0.09008502770838539,1.463747059431719,0.8097736050400285,codellama/CodeLlama-34b-Instruct-hf,40,2,6.303649752711257
5,0.7711561516367106,0.7197501157255223,0.7676859612628404,0.9747971748260574,1.0457147291162983,0.1399393416553115,1.875772129602006,0.993951975639599,0.7656726204838353,0.7082199179121906,0.7565394545867864,0.9408227502341979,0.9910398802794488,0.09008502770838539,1.5761728340001075,0.9831431874917963,codellama/CodeLlama-34b-Instruct-hf,48,2,6.38157094848187
6,0.9023047709238848,0.7327413047841262,0.7794103515888786,1.0019794572144747,1.0597465415706946,0.13786825695119442,1.7742926318619756,1.1370441851405693,0.8967299365517066,0.7312494706500897,0.7764674281075713,0.967538065176706,1.0171448195162764,0.093761468682461,1.4814178426857254,1.1468276274780056,codellama/CodeLlama-34b-Instruct-hf,56,2,6.2893004838510285
7,1.0195298673352227,1.3945204967361253,1.4428572794713546,1.0426173527472808,1.0965887862160646,0.12839329428970814,1.7797031517451007,1.238688083200638,1.0151125621346255,0.8394565520722623,0.8860334808390791,1.005012020028036,1.0565401057749682,0.09245795358278332,1.4843836441725837,1.2299820416581217,codellama/CodeLlama-34b-Instruct-hf,64,2,6.315764758862012
8,1.0259182769611168,1.3302104622804716,1.3801877127358846,1.0448947929641388,1.1126248852330416,0.13226621255550222,1.7373762287509937,1.2107869454969962,1.0212215481749303,0.8277860406508232,0.8772172974768675,1.0070240561041681,1.0565401057749682,0.09190486659714167,1.4405134631545986,1.2128822651063744,codellama/CodeLlama-34b-Instruct-hf,64,2,6.3142545805021655
9,1.2803892141277613,0.9858450568300436,1.0421735918558979,1.132500773349862,1.187078036460639,0.13434626567815103,1.8918910962278295,1.8988952535316657,1.2750680898645612,0.9733607460833422,1.0397699772818036,1.1018598583175088,1.153729279795426,0.09565557663042763,1.5983944494394038,1.4784579668761635,codellama/CodeLlama-34b-Instruct-hf,80,2,6.332345392856422
10,1.5477824103809041,0.9645655361297427,1.0119390313007635,1.629702941833586,1.684415112265666,0.12192756234052685,1.7454223787882543,1.7473010360795012,1.5480555285283155,0.9559969894942758,1.0030040040040038,1.2448307451444325,1.295633268867385,0.0909903975919381,1.4462870584241607,1.7315200822950374,codellama/CodeLlama-34b-Instruct-hf,96,2,6.423850363333127
11,1.7641861584501821,1.3807403381073775,1.4303344072503223,1.3954675271388597,1.455049094735736,0.12021785386415193,1.7937721231349852,1.9677986241655994,1.7842527372750259,1.0481215014390999,1.097461220558395,1.3647886802745508,1.4176486464370954,0.09245795358278332,1.4784579668761635,1.9601082951296365,codellama/CodeLlama-34b-Instruct-hf,112,2,6.307784087944897
12,2.082704192680585,1.7017906072077813,1.7484794721587913,1.4505815897862633,1.501831945104452,0.11181526200531365,1.7573523129542152,2.267850978396736,2.0854814607069723,1.1422494778455083,1.188865579208785,1.4119893760513889,1.4608224898824047,0.08689964652425576,1.472555944954524,2.2591751565044516,codellama/CodeLlama-34b-Instruct-hf,128,2,6.421029148018592
0,0.16414020016478995,0.493418638749669,0.538292583466197,0.33130724720346433,0.3746140767664959,0.1558590641555687,0.588918124170353,0.18057692795991898,0.15551686131708756,0.4662651784051929,0.5091560514690819,0.2920001653830144,0.3365525879195709,0.07390303607344209,0.41271384517123605,0.17187271812714278,meta-llama/Llama-2-7b-hf,8,1,0.22040716915701827
1,0.2912714893075948,0.5066062488670772,0.5509873056629052,0.36888353740020347,0.41274214648486424,0.12312198426419248,0.6197734134426961,0.3274305587789665,0.28393756127239783,0.5030826898767411,0.5471672848057016,0.33253809068365264,0.37794718160340857,0.07346094530820546,0.45248495530766547,0.3188607215817742,meta-llama/Llama-2-7b-hf,16,1,0.2680328761925921
2,0.3935445470046507,0.5381771503654245,0.5798212711839643,0.39861748339480735,0.4403869882991461,0.1154946648094752,0.6248174707264933,0.4371279780434011,0.39732495459853007,0.532059097473401,0.57292487121769,0.3697231370573561,0.41188924208398087,0.07434778735773258,0.46533357964714056,0.43911199948509766,meta-llama/Llama-2-7b-hf,24,1,0.31065111278160795
3,0.49065761556176796,0.5558010085111427,0.5930975948450798,0.4155591355886349,0.4543137650207146,0.09483243722814261,0.6550665747988778,0.5329159549293444,0.5111967550413993,0.5706377482658458,0.6083525788507955,0.39494814164795633,0.43387414373397,0.06987821156416514,0.5000732301419085,0.5428074078345082,meta-llama/Llama-2-7b-hf,32,1,0.33579062017583355
4,0.6392180583760386,0.6183973097501964,0.6586303552765338,0.474528602293891,0.5161954819026296,0.10536979410614146,0.6931132835442902,0.701654513488661,0.6382656840334778,0.6107908632968063,0.6511595104851139,0.44263898579128574,0.48432420974791573,0.0731676883341777,0.5428074078345082,0.675028321642906,meta-llama/Llama-2-7b-hf,40,1,0.4258007975295186
5,0.766808296273118,0.6407033907224055,0.6833982905883291,0.5159392659488606,0.558779571741207,0.09907027610820042,0.7262026368040745,0.8485910469946796,0.768741445547072,0.6268796793879171,0.6683116753908321,0.48529382778544905,0.5267650192423886,0.07346094530820546,0.5752211609858071,0.844508433557472,meta-llama/Llama-2-7b-hf,48,1,0.4633081860023818
6,0.8963370771958814,0.6713097566488193,0.7119805181714874,0.5625122204989369,0.6048113736732487,0.10368273571700032,0.7659596205846957,0.9791013180163869,0.8949382683468082,0.6683116753908321,0.7082199179121906,0.5341915967293072,0.5752211609858071,0.07661201533830812,0.6169294155828551,0.9811788654388656,meta-llama/Llama-2-7b-hf,56,1,0.51822425111344
7,1.008900761222228,0.7831218652427197,0.8260445896154031,0.5914391054270359,0.6328389156036652,0.09767231173240222,0.7996798743708775,1.0546066786329715,1.0212215481749303,0.7811402386470111,0.8244815088563408,0.5649598059183998,0.6059240280655137,0.0750949952933328,0.6485600739157488,1.0607747312143214,meta-llama/Llama-2-7b-hf,64,1,0.5711846626721896
8,1.0029137552453158,0.77218889282682,0.8164007789813555,0.5898099607573106,0.6325292209975231,0.09719772885243098,0.7999033129845674,1.0386048446003444,1.0130843652072836,0.7733677608293648,0.8162777780515558,0.5649598059183998,0.607137089182762,0.07494495534269678,0.653769365627484,1.0418515988579433,meta-llama/Llama-2-7b-hf,64,1,0.5818575131109892
9,1.2485938467329643,0.8955183305365385,0.9382349643169245,0.6648825575047951,0.7058284445818452,0.09798417707569286,0.9262512741442465,1.292918764863957,1.264908235362883,0.8985251916799384,0.9408227502341979,0.6433922902977921,0.684545183912454,0.07800351803209372,0.7795795188894746,1.298227129265518,meta-llama/Llama-2-7b-hf,80,1,0.6792306963003194
10,1.5329004872475875,1.2889637066680721,1.3317519436517267,0.8260609253083988,0.8683771923273395,0.09745571988002229,1.0254358151234662,1.5560336182141874,1.5511547387956395,0.9148450890111297,0.9579108973811512,0.8033212578501778,0.844508433557472,0.07707306936293484,0.8860334808390791,1.5604896470601262,meta-llama/Llama-2-7b-hf,96,1,0.7948273770612865
11,1.7658763371778337,1.00475512050114,1.0477584631492693,1.2095582151338893,1.2523153632040522,0.09711140532547619,1.1284977077827816,1.7788681856558075,1.7985840126182797,1.0110602206214547,1.0544291365326606,0.9003240409125307,0.9427062792636958,0.07831615706965818,0.9870836372007316,1.8021847814123104,meta-llama/Llama-2-7b-hf,112,1,0.8940928818505497
12,2.0137258967303713,1.0470314882695675,1.0910259215566127,1.2311881343784081,1.2746133830855646,0.09637958336802548,1.234896094574,2.014352526167965,2.0482786121223775,1.0544291365326606,1.0996583401190723,0.9811788654388656,1.0253146164110338,0.07863004916824187,1.0887165531867162,2.0482786121223775,meta-llama/Llama-2-7b-hf,128,1,1.0049048253832875
0,0.1972381335993608,0.5619407553846637,0.6118264670173327,0.7552310902004441,0.809549615951255,0.23585735470987856,1.7365357101274033,0.23822216705108681,0.19928864303295904,0.5267650192423886,0.5740718679568646,0.7225269141045048,0.7733677608293648,0.09357413308069784,1.3539139242302682,0.227865213658596,meta-llama/Llama-2-70b-hf,8,4,6.620062951697037
1,0.33155987330246717,0.5717233289033175,0.6185991660458967,0.7975341965599606,0.850777238762627,0.2157825365429744,1.9000770068184163,0.4014942145052676,0.29552527691056235,0.5615801949281531,0.607137089182762,0.7626160462070278,0.811394773418487,0.09117256055008009,1.4933167214479137,0.39573882861822257,meta-llama/Llama-2-70b-hf,16,4,6.658679044145781
2,0.42010856511658184,0.6068046874532552,0.6541623414991653,0.8297495014506252,0.8927602097647239,0.1921747485813621,1.8381816941020015,0.5400103248961984,0.4037332859484861,0.5963063867169148,0.6433922902977921,0.8001143897618219,0.852995887262035,0.08954613565533923,1.4204867818653981,0.5352610493754119,meta-llama/Llama-2-70b-hf,24,4,6.782484550207649
3,0.5237077646072685,0.5946720148599947,0.6392219454318899,0.907388914222877,0.977652121008825,0.1518906540592614,1.9284565116941315,0.6737841542848607,0.5246621669728105,0.6059240280655137,0.6498584924821468,0.837779316203986,0.8878073216415597,0.09172124049005448,1.5083248090357997,0.675028321642906,meta-llama/Llama-2-70b-hf,32,4,6.6700944720200965
4,0.628815502019935,0.6534269816226891,0.6998003876508504,0.9137121540662206,0.9657852046313833,0.15043427014998237,1.8551316165716434,0.8022770663479069,0.6369904279215228,0.653769365627484,0.7011730096495689,0.8878073216415597,0.9389429844994642,0.08901046727499676,1.4696137752343355,0.811394773418487,meta-llama/Llama-2-70b-hf,40,4,6.7286313545783285
5,0.7779196635118291,0.6889901442887032,0.7339113165484104,0.9843255568627421,1.0405497351176527,0.1494157836096336,1.9304274584562198,1.6821667150122255,0.7764674281075713,0.6777338432672046,0.7225269141045048,0.9258893668969445,0.9753094162456712,0.08990503764303397,1.5083248090357997,0.9851114421214094,meta-llama/Llama-2-70b-hf,48,4,6.938912747874346
6,0.8490270096264039,0.7125228801360953,0.7566232996725897,0.9994048105106194,1.0515437284430043,0.1413401812641767,1.909147953472988,1.6861479764815137,0.8772172974768675,0.7139084027524476,0.7595716738113635,0.9617502157681314,1.0110602206214547,0.09008502770838539,1.472555944954524,1.0930801422139287,meta-llama/Llama-2-70b-hf,56,4,6.774649500563654
7,1.0043393378742995,1.3451634154010277,1.3938461931852193,1.0445867486011524,1.0941189176474626,0.14039790735412866,1.8873512744903564,1.1979897673695514,1.0314849988023262,0.8394565520722623,0.8895847136768781,1.0070240561041681,1.0565401057749682,0.08918866640868042,1.429035325391059,1.2056267573869086,meta-llama/Llama-2-70b-hf,64,4,6.663267355030164
8,0.9867854643231019,1.3844008247057598,1.4334337511219275,1.0323729234723709,1.0824746953753324,0.13643355610278937,1.9063578273814459,1.1630488667063987,1.0110602206214547,0.8311038170484454,0.8789734882626069,0.9930239441038321,1.0418515988579433,0.08865513642293174,1.452083794332939,1.165324455711684,meta-llama/Llama-2-70b-hf,64,4,6.785705132792011
9,1.2838937147505214,1.8685334381174112,1.9203973514195838,1.1730893308938037,1.2285157543851337,0.1563942975929526,1.8669814806523137,1.4439256838904542,1.285309549213618,0.9540869055991824,1.0030040040040038,1.1286243935759568,1.1793925938813135,0.1001585080908159,1.4347629161465432,1.429035325391059,meta-llama/Llama-2-70b-hf,80,4,6.765200699236793
10,1.427820377503188,1.3513478423459233,1.3974333831995929,1.2324828147544897,1.2855343544480642,0.12435223080802696,1.8249558342093086,1.6362507447740222,1.4814178426857254,0.9910398802794488,1.0356192030718705,1.2177435117989384,1.2699780027693803,0.0943257287701257,1.395146755757354,1.6503702670326814,meta-llama/Llama-2-70b-hf,96,4,6.718376763451069
