,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.019,0.026000000000000002,0.021666666666666667,0.02,0.0030912061651652356,0,8,2048,all_reduce,8,8
1,0.031,0.05,0.037333333333333336,0.031,0.008956685895029603,0,8,10240,all_reduce,8,8
2,0.029,0.032,0.030333333333333334,0.03,0.001247219128924647,0,8,18432,all_reduce,8,8
3,0.036000000000000004,0.037,0.036666666666666674,0.037,0.0004714045207910288,0,8,26624,all_reduce,8,8
4,0.04,0.048,0.044000000000000004,0.044,0.0032659863237109047,0,8,34816,all_reduce,8,8
5,0.048,0.049,0.04866666666666667,0.049,0.00047140452079103207,0,8,43008,all_reduce,8,8
6,0.055,0.056,0.05566666666666667,0.056,0.00047140452079103207,0,8,51200,all_reduce,8,8
7,0.062,0.065,0.06366666666666666,0.064,0.0012472191289246482,0,8,59392,all_reduce,8,8
8,0.07100000000000001,0.085,0.07833333333333335,0.079,0.00573488351136175,0,8,67584,all_reduce,8,8
9,0.085,0.089,0.08666666666666667,0.08600000000000001,0.00169967317119759,0,8,75776,all_reduce,8,8
10,0.089,0.094,0.09233333333333334,0.094,0.0023570226039551605,0,8,83968,all_reduce,8,8
11,0.096,0.10200000000000001,0.09800000000000002,0.096,0.0028284271247461927,0,8,92160,all_reduce,8,8
12,0.126,0.132,0.12966666666666668,0.131,0.002624669291337273,0,8,100352,all_reduce,8,8
13,0.14100000000000001,0.157,0.14733333333333334,0.14400000000000002,0.006944222218666547,0,8,108544,all_reduce,8,8
14,0.133,0.14100000000000001,0.136,0.134,0.0035590260840104404,0,8,116736,all_reduce,8,8
15,0.151,0.157,0.154,0.154,0.00244948974278318,0,8,124928,all_reduce,8,8
16,0.182,0.191,0.18566666666666665,0.184,0.0038586123009300786,0,8,133120,all_reduce,8,8
17,0.165,0.194,0.17966666666666664,0.18,0.011841546445554407,0,8,141312,all_reduce,8,8
18,0.183,0.20400000000000001,0.19099999999999998,0.186,0.009273618495495711,0,8,149504,all_reduce,8,8
19,0.193,0.199,0.19533333333333336,0.194,0.002624669291337273,0,8,157696,all_reduce,8,8
20,0.189,0.21,0.20266666666666666,0.209,0.009672412085697933,0,8,165888,all_reduce,8,8
21,0.201,0.223,0.2106666666666667,0.20800000000000002,0.009177266598624131,0,8,174080,all_reduce,8,8
22,0.20600000000000002,0.222,0.21366666666666667,0.213,0.006548960901462828,0,8,182272,all_reduce,8,8
23,0.219,0.23800000000000002,0.22866666666666668,0.229,0.007760297817881884,0,8,190464,all_reduce,8,8
24,0.229,0.243,0.2373333333333333,0.24,0.006018490028422589,0,8,198656,all_reduce,8,8
25,0.23900000000000002,0.253,0.24766666666666667,0.251,0.006182412330330462,0,8,206848,all_reduce,8,8
26,0.247,0.26,0.25533333333333336,0.259,0.005906681715556456,0,8,215040,all_reduce,8,8
27,0.251,0.269,0.261,0.263,0.007483314773547889,0,8,223232,all_reduce,8,8
28,0.252,0.264,0.25933333333333336,0.262,0.005249338582674546,0,8,231424,all_reduce,8,8
29,0.265,0.276,0.27066666666666667,0.271,0.004496912521077351,0,8,239616,all_reduce,8,8
30,0.254,0.267,0.26166666666666666,0.264,0.005557777333511027,0,8,247808,all_reduce,8,8
31,0.274,0.295,0.2816666666666667,0.276,0.009463379711052242,0,8,256000,all_reduce,8,8
32,0.302,0.319,0.31,0.309,0.006976149845485456,0,8,264192,all_reduce,8,8
33,0.293,0.312,0.30266666666666664,0.303,0.007760297817881884,0,8,272384,all_reduce,8,8
34,0.315,0.339,0.32866666666666666,0.332,0.010077477638553992,0,8,280576,all_reduce,8,8
35,0.339,0.369,0.35333333333333333,0.352,0.012283683848458843,0,8,288768,all_reduce,8,8
36,0.364,0.373,0.36866666666666664,0.369,0.00368178700572909,0,8,296960,all_reduce,8,8
37,0.359,0.379,0.36633333333333334,0.361,0.008993825042154702,0,8,305152,all_reduce,8,8
38,0.36,0.375,0.36566666666666664,0.362,0.006649979114420007,0,8,313344,all_reduce,8,8
39,0.365,0.391,0.37600000000000006,0.372,0.01098483803552273,0,8,321536,all_reduce,8,8
40,0.511,0.537,0.5273333333333334,0.534,0.01161416759345624,0,8,329728,all_reduce,8,8
41,0.549,0.562,0.5556666666666668,0.556,0.005312459150169748,0,8,337920,all_reduce,8,8
42,0.554,0.582,0.5666666666666668,0.5640000000000001,0.01158543146465514,0,8,346112,all_reduce,8,8
43,0.579,0.644,0.6036666666666667,0.588,0.02875567576825296,0,8,354304,all_reduce,8,8
44,0.584,0.595,0.5903333333333333,0.592,0.004642796092394711,0,8,362496,all_reduce,8,8
45,0.592,0.622,0.6056666666666667,0.603,0.012391753530294081,0,8,370688,all_reduce,8,8
46,0.586,0.613,0.5983333333333333,0.596,0.011145502331533668,0,8,378880,all_reduce,8,8
47,0.612,0.666,0.6323333333333333,0.619,0.023976840677805946,0,8,387072,all_reduce,8,8
48,0.611,0.629,0.621,0.623,0.007483314773547889,0,8,395264,all_reduce,8,8
49,0.595,0.646,0.617,0.61,0.021400934559032716,0,8,403456,all_reduce,8,8
50,0.636,0.652,0.6456666666666667,0.649,0.006944222218666559,0,8,411648,all_reduce,8,8
51,0.642,0.664,0.6513333333333334,0.648,0.009285592184789422,0,8,419840,all_reduce,8,8
52,0.643,0.656,0.65,0.651,0.005354126134736342,0,8,428032,all_reduce,8,8
53,0.649,0.6890000000000001,0.6666666666666666,0.662,0.01665999866613308,0,8,436224,all_reduce,8,8
54,0.666,0.6960000000000001,0.6813333333333333,0.682,0.012256517540566834,0,8,444416,all_reduce,8,8
55,0.685,0.928,0.775,0.712,0.10874741376235117,0,8,452608,all_reduce,8,8
56,0.6990000000000001,0.737,0.7200000000000001,0.724,0.01576916823001979,0,8,460800,all_reduce,8,8
57,0.724,0.749,0.734,0.729,0.010801234497346443,0,8,468992,all_reduce,8,8
58,0.718,0.782,0.7453333333333333,0.736,0.02694851057521034,0,8,477184,all_reduce,8,8
59,0.72,0.783,0.7443333333333334,0.73,0.027644569488820468,0,8,485376,all_reduce,8,8
60,0.721,0.775,0.7423333333333333,0.731,0.023456816114345597,0,8,493568,all_reduce,8,8
61,0.746,0.776,0.7633333333333333,0.768,0.012684198393626975,0,8,501760,all_reduce,8,8
62,0.756,0.8130000000000001,0.782,0.777,0.023537204591879662,0,8,509952,all_reduce,8,8
63,0.771,0.789,0.7823333333333333,0.787,0.008055363982396388,0,8,518144,all_reduce,8,8
64,0.772,0.8170000000000001,0.7923333333333332,0.788,0.01862495339293201,0,8,526336,all_reduce,8,8
65,0.785,0.797,0.791,0.791,0.00489897948556636,0,8,534528,all_reduce,8,8
66,0.759,0.79,0.7763333333333334,0.78,0.012918548250050744,0,8,542720,all_reduce,8,8
67,0.8,0.8300000000000001,0.8126666666666668,0.808,0.012684198393626975,0,8,550912,all_reduce,8,8
68,0.8150000000000001,0.853,0.8370000000000001,0.843,0.016083117442419723,0,8,559104,all_reduce,8,8
